trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
339,False,"{'a': 0.0119926306926773, 'e': 0.017154425875072966}",25,3,32.76691349155267,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.0119926306926773, 'e': 0.016949928003046632}",20,0,32.95223972232229,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
341,False,"{'a': 0.0119926306926773, 'e': 0.016747867949689813}",25,0,26.09103735088775,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
342,False,"{'a': 0.0119926306926773, 'e': 0.016548216653771694}",30,20,17.903394620311907,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.0119926306926773, 'e': 0.016350945400500288}",20,3,23.997851967366238,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.0119926306926773, 'e': 0.016156025817392578}",25,3,33.630890448180914,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.0119926306926773, 'e': 0.015963429870193894}",30,0,43.52834163666962,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
346,False,"{'a': 0.0119926306926773, 'e': 0.01577312985884581}",20,9,22.71738023135518,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.0119926306926773, 'e': 0.015585098413502231}",20,3,29.504825650778283,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.0119926306926773, 'e': 0.015399308490592985}",20,2,29.631483573193517,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.0119926306926773, 'e': 0.015215733368934187}",35,8,41.950003531136375,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.0119926306926773, 'e': 0.015034346645885136}",20,8,23.576601534021776,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.0119926306926773, 'e': 0.01485512223355098}",25,10,31.843639670227493,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
